ali_share_x,ali_share_y,ali_gpumem_x,ali_gpumem_y,ali_gpuutil_x,ali_gpuutil_y,msft_8gpu_x,msft_8gpu_y,msft_16gpu_x,msft_16gpu_y
0,3.14961,0.383142,0.334928,0,36.0738,0.127714,13.8376,0.127714,10.5166
0,28.3465,1.02171,0.333856,0.766284,36.0725,1.66028,14.7601,1.40485,11.9926
3.21888,32.2835,1.14943,1.50814,0.893997,36.5757,3.19285,15.3137,2.29885,12.7306
4.93562,34.1207,1.40485,3.18556,0.893997,40.7703,4.98084,16.0517,2.93742,13.4686
7.08155,36.2205,1.66028,3.85627,1.91571,40.7686,6.76884,16.6052,3.83142,14.2066
9.01288,38.0577,1.66028,4.52742,2.04342,45.6342,8.42912,17.3432,5.23627,15.3137
10.3004,39.6325,1.91571,5.70148,2.93742,45.9682,10.0894,18.2657,5.87484,16.0517
11.8026,40.9449,2.04342,6.5402,3.06513,49.8271,11.1111,18.6347,6.51341,16.7897
13.0901,43.0446,2.04342,7.21134,3.83142,49.9936,11.8774,19.3727,7.79055,17.8967
14.5923,44.6194,2.17114,8.38562,3.95913,53.8524,12.6437,20.1107,9.06769,18.8192
16.9528,46.9816,2.29885,9.39212,4.85313,53.8509,14.1762,20.6642,9.96169,19.5572
19.9571,49.8688,2.29885,10.9022,4.98084,57.0386,15.5811,21.4022,10.6003,20.1107
22.103,51.9685,2.29885,12.2445,5.87484,57.3727,17.3691,22.1402,11.7497,20.8487
24.4635,54.0682,2.29885,13.9223,5.87484,60.0573,20.9451,23.8007,13.2822,21.9557
25.1073,55.3806,2.42656,15.7677,6.89655,60.3911,29.1188,27.4908,14.8148,22.8782
27.897,57.4803,2.42656,17.2778,7.02427,63.0755,39.8467,32.6568,16.2197,23.9852
31.3305,60.105,2.42656,18.9557,7.79055,63.0742,46.1047,35.7934,17.8799,25.0923
34.7639,62.9921,2.42656,20.2979,7.91826,65.5907,54.5338,40.0369,19.1571,26.1993
36.6953,64.042,2.42656,21.6402,8.81226,65.4215,56.705,41.3284,20.5619,27.3063
37.9828,65.6168,2.42656,22.6469,8.93997,67.7702,60.0255,42.9889,21.8391,28.2288
39.9142,67.1916,2.42656,23.3181,9.83397,67.7687,62.4521,44.2804,23.2439,29.3358
46.1373,71.1286,2.55428,23.989,9.96169,69.6142,64.1124,45.203,24.5211,30.6273
48.927,73.2283,2.80971,24.4919,10.8557,69.6127,67.0498,46.679,25.9259,31.7343
