,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,PointNet,ShapeNet,1,32,0,135.967,PointNet,ShapeNet,1,32,0,132.878,18.304,15.072,7958
1,PointNet,ShapeNet,1,32,0,137.576,PointNet,ShapeNet,1,32,1,132.2,16.182,12.333,7138
2,PointNet,ShapeNet,1,32,1,136.01,PointNet,ShapeNet,1,32,1,131.93,11.667,8.667,6504
3,PointNet,ShapeNet,1,32,0,135.364,PointNet,ShapeNet,1,64,0,135.676,18.522,15.627,10336
4,PointNet,ShapeNet,1,32,0,135.178,PointNet,ShapeNet,1,64,1,134.091,15.672,12.828,8522
5,PointNet,ShapeNet,1,32,1,137.204,PointNet,ShapeNet,1,64,0,134.04,18.703,15.062,9516
6,PointNet,ShapeNet,1,32,1,134.695,PointNet,ShapeNet,1,64,1,134.134,15.419,12.565,7888
7,PointNet,ShapeNet,1,32,0,132.104,PointNet,ShapeNet,1,128,0,128.345,20.526,16.667,14464
8,PointNet,ShapeNet,1,32,0,136.67,PointNet,ShapeNet,1,128,1,126.34,13.897,11.241,10966
9,PointNet,ShapeNet,1,32,1,132.637,PointNet,ShapeNet,1,128,0,126.12,20.321,16.589,13830
10,PointNet,ShapeNet,1,32,1,133.784,PointNet,ShapeNet,1,128,1,128.348,12.571,10.482,10332
11,PointNet,ShapeNet,1,64,0,135.606,PointNet,ShapeNet,1,64,0,135.775,19.507,16.746,12714
12,PointNet,ShapeNet,1,64,0,136.905,PointNet,ShapeNet,1,64,1,136.607,18.53,15.47,11624
13,PointNet,ShapeNet,1,64,1,127.673,PointNet,ShapeNet,1,64,1,135.794,13.127,11.095,9086
14,PointNet,ShapeNet,1,64,0,132.991,PointNet,ShapeNet,1,128,0,125.26,21.982,17.667,16842
15,PointNet,ShapeNet,1,64,0,135.8,PointNet,ShapeNet,1,128,1,128.848,15.5,12.161,13344
16,PointNet,ShapeNet,1,64,1,134.682,PointNet,ShapeNet,1,128,0,126.883,19.316,15.667,15028
17,PointNet,ShapeNet,1,64,1,134.049,PointNet,ShapeNet,1,128,1,124.195,12.404,10.895,11530
18,PointNet,ShapeNet,1,128,0,123.597,PointNet,ShapeNet,1,128,0,127.148,23.345,19.845,20970
19,PointNet,ShapeNet,1,128,0,126.866,PointNet,ShapeNet,1,128,1,128.361,15.778,12.407,17472
20,PointNet,ShapeNet,1,128,1,123.457,PointNet,ShapeNet,1,128,1,128.304,12.302,9.604,13856
