Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,MobileNetV3,ImageNet,1,32,0,1311.622,ResNet18,CIFAR-10,1,32,0,1860.273,64.789,29.461,5106
1,MobileNetV3,ImageNet,1,32,0,1407.177,ResNet18,CIFAR-10,1,32,1,1468.858,45.562,20.849,5046
2,MobileNetV3,ImageNet,1,32,1,960.97,ResNet18,CIFAR-10,1,32,0,1831.269,55.026,27.026,4736
3,MobileNetV3,ImageNet,1,32,1,972.479,ResNet18,CIFAR-10,1,32,1,1390.336,39.123,18.918,4786
4,MobileNetV3,ImageNet,1,32,0,1295.057,ResNet18,CIFAR-10,1,64,0,3217.832,79.855,50.184,5378
5,MobileNetV3,ImageNet,1,32,0,1304.654,ResNet18,CIFAR-10,1,64,1,2817.043,57.253,31.427,6358
6,MobileNetV3,ImageNet,1,32,1,950.309,ResNet18,CIFAR-10,1,64,0,3389.944,87.855,47.368,5116
7,MobileNetV3,ImageNet,1,32,1,931.519,ResNet18,CIFAR-10,1,64,1,2814.647,53.816,28.079,6046
8,MobileNetV3,ImageNet,1,32,0,971.983,ResNet18,CIFAR-10,1,128,0,4217.016,94.276,53.697,5788
9,MobileNetV3,ImageNet,1,32,0,1395.813,ResNet18,CIFAR-10,1,128,1,4592.267,70.541,42.041,5714
10,MobileNetV3,ImageNet,1,32,1,898.438,ResNet18,CIFAR-10,1,128,0,4748.898,94.27,65.432,5500
11,MobileNetV3,ImageNet,1,32,1,954.641,ResNet18,CIFAR-10,1,128,1,4522.217,71.662,43.595,5454
12,MobileNetV3,ImageNet,1,64,0,2059.223,ResNet18,CIFAR-10,1,32,0,1834.478,70.171,33.434,5674
13,MobileNetV3,ImageNet,1,64,0,2196.176,ResNet18,CIFAR-10,1,32,1,1423.618,53.311,26.716,5618
14,MobileNetV3,ImageNet,1,64,1,1802.119,ResNet18,CIFAR-10,1,32,0,1755.217,58.733,29.227,5084
15,MobileNetV3,ImageNet,1,64,1,1818.363,ResNet18,CIFAR-10,1,32,1,1290.865,41.892,20.014,5058
16,MobileNetV3,ImageNet,1,64,0,1828.125,ResNet18,CIFAR-10,1,64,0,3008.824,88.373,46.893,5948
17,MobileNetV3,ImageNet,1,64,0,2115.176,ResNet18,CIFAR-10,1,64,1,2722.32,64.421,36.368,6930
18,MobileNetV3,ImageNet,1,64,1,1770.316,ResNet18,CIFAR-10,1,64,0,3325.924,88.147,49.147,5388
19,MobileNetV3,ImageNet,1,64,1,1814.697,ResNet18,CIFAR-10,1,64,1,2630.877,56.44,27.413,5316
20,MobileNetV3,ImageNet,1,64,0,1399.725,ResNet18,CIFAR-10,1,128,0,3959.16,96.813,55.493,6360
21,MobileNetV3,ImageNet,1,64,0,1993.513,ResNet18,CIFAR-10,1,128,1,4710.977,78.707,44.613,6286
22,MobileNetV3,ImageNet,1,64,1,1505.832,ResNet18,CIFAR-10,1,128,0,4419.477,95.493,59.973,5800
23,MobileNetV3,ImageNet,1,64,1,1891.722,ResNet18,CIFAR-10,1,128,1,4729.117,76.267,46.333,5760
24,MobileNetV3,ImageNet,1,128,0,2355.464,ResNet18,CIFAR-10,1,32,0,1844.716,77.5,33.763,6840
25,MobileNetV3,ImageNet,1,128,0,2756.776,ResNet18,CIFAR-10,1,32,1,1394.012,52.36,26.787,6780
26,MobileNetV3,ImageNet,1,128,1,2811.075,ResNet18,CIFAR-10,1,32,0,1770.492,66.44,32.853,5626
27,MobileNetV3,ImageNet,1,128,1,2953.264,ResNet18,CIFAR-10,1,32,1,1464.741,54.934,27.566,5568
28,MobileNetV3,ImageNet,1,128,0,2175.316,ResNet18,CIFAR-10,1,64,0,2901.891,90.693,47.96,7110
29,MobileNetV3,ImageNet,1,128,0,2517.975,ResNet18,CIFAR-10,1,64,1,2607.362,63.12,34.24,8092
30,MobileNetV3,ImageNet,1,128,1,2371.709,ResNet18,CIFAR-10,1,64,0,3066.993,85.48,42.0,6060
31,MobileNetV3,ImageNet,1,128,1,2819.594,ResNet18,CIFAR-10,1,64,1,2712.243,65.539,36.0,5826
32,MobileNetV3,ImageNet,1,128,0,1923.023,ResNet18,CIFAR-10,1,128,0,4059.176,97.182,58.013,7522
33,MobileNetV3,ImageNet,1,128,0,2298.971,ResNet18,CIFAR-10,1,128,1,4221.84,76.493,47.893,8486
34,MobileNetV3,ImageNet,1,128,1,1929.476,ResNet18,CIFAR-10,1,128,0,4172.256,94.547,54.04,6310
35,MobileNetV3,ImageNet,1,128,1,2621.122,ResNet18,CIFAR-10,1,128,1,4419.899,73.853,36.987,7274
36,MobileNetV3,ImageNet,1,32,0,1123.819,MobileNetV2,CIFAR-10,1,32,0,936.936,45.473,18.784,5246
37,MobileNetV3,ImageNet,1,32,0,1346.596,MobileNetV2,CIFAR-10,1,32,1,775.171,36.534,10.342,5036
38,MobileNetV3,ImageNet,1,32,1,933.588,MobileNetV2,CIFAR-10,1,32,0,923.683,42.257,16.243,4964
39,MobileNetV3,ImageNet,1,32,1,936.661,MobileNetV2,CIFAR-10,1,32,1,813.635,34.507,8.411,4752
40,MobileNetV3,ImageNet,1,32,0,1267.533,MobileNetV2,CIFAR-10,1,64,0,2002.934,70.468,39.299,5754
41,MobileNetV3,ImageNet,1,32,0,1221.28,MobileNetV2,CIFAR-10,1,64,1,1583.789,46.135,18.554,5278
