,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem,added_util
356,PointNet,ShapeNet,1,128,1,0.916,PointNet,ShapeNet,1,128,1,0.955,13.255,9.673,12486,12.325
346,PointNet,ShapeNet,1,32,1,1,PointNet,ShapeNet,1,128,1,0.932,14.25,12.393,10332,12.466
338,PointNet,ShapeNet,1,32,1,1.009,PointNet,ShapeNet,1,32,1,0.996,14.53,11.182,6504,12.607
353,PointNet,ShapeNet,1,64,1,0.98,PointNet,ShapeNet,1,128,1,0.907,14.088,11.719,11530,12.999
342,PointNet,ShapeNet,1,32,1,0.995,PointNet,ShapeNet,1,64,1,0.957,14,11.234,7888,13.14
349,PointNet,ShapeNet,1,64,1,0.957,PointNet,ShapeNet,1,64,1,0.988,11.841,8.222,8714,13.673
344,PointNet,ShapeNet,1,32,0,1.027,PointNet,ShapeNet,1,128,1,0.914,14.966,12.052,10966,15.1435
337,PointNet,ShapeNet,1,32,0,0.986,PointNet,ShapeNet,1,32,1,1.01,19.621,15.318,7324,15.2845
340,PointNet,ShapeNet,1,32,0,1.019,PointNet,ShapeNet,1,64,1,0.985,17.484,14.594,8522,15.8175
351,PointNet,ShapeNet,1,64,0,1.01,PointNet,ShapeNet,1,128,1,0.932,18.4,14.855,13344,16.553
341,PointNet,ShapeNet,1,32,1,0.993,PointNet,ShapeNet,1,64,0,0.987,18.773,15.97,9702,16.694
355,PointNet,ShapeNet,1,128,0,0.954,PointNet,ShapeNet,1,128,1,0.914,17.621,14.414,17472,17.226
348,PointNet,ShapeNet,1,64,0,1.003,PointNet,ShapeNet,1,64,1,0.986,17.343,13.597,10900,17.227
345,PointNet,ShapeNet,1,32,1,1,PointNet,ShapeNet,1,128,0,0.951,16.211,13.877,13830,17.367
352,PointNet,ShapeNet,1,64,1,0.981,PointNet,ShapeNet,1,128,0,0.934,15.793,13.569,15028,17.9
336,PointNet,ShapeNet,1,32,0,0.983,PointNet,ShapeNet,1,32,0,1.025,20.338,16.838,7958,17.962
372,PointNet,ShapeNet,1,128,1,0.922,PPO,LunarLander,1,64,0,1,19.758,5.71,9024,18.1785
360,PointNet,ShapeNet,1,32,1,0.989,PPO,LunarLander,1,64,0,1,21.222,4.861,5382,18.3195
370,PointNet,ShapeNet,1,128,1,0.926,PPO,LunarLander,1,32,0,1,18.726,6.661,9024,18.75
1053,PointNet,ShapeNet,1,128,1,0.939,TD3,BipedalWalker,1,32,0,1,18.847,5.932,9032,18.764
366,PointNet,ShapeNet,1,64,1,0.97,PPO,LunarLander,1,64,0,1,19.784,4.959,6580,18.8525
358,PointNet,ShapeNet,1,32,1,0.972,PPO,LunarLander,1,32,0,1,22.571,4.614,5382,18.891
1041,PointNet,ShapeNet,1,32,1,0.977,TD3,BipedalWalker,1,32,0,1,21.563,4.972,5390,18.905
339,PointNet,ShapeNet,1,32,0,1.038,PointNet,ShapeNet,1,64,0,1.013,18.848,15.848,10336,19.3715
364,PointNet,ShapeNet,1,64,1,0.999,PPO,LunarLander,1,32,0,1,22.273,6.47,6580,19.424
1047,PointNet,ShapeNet,1,64,1,0.98,TD3,BipedalWalker,1,32,0,1,20.156,4.938,6588,19.438
555,NeuMF,MovieLens,1,64,1,1.012,NeuMF,MovieLens,1,64,1,0.901,17.951,3.811,4122,19.55
