model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
PointNet,ShapeNet,1,32,0,0.983,PointNet,ShapeNet,1,32,0,1.025,20.338,16.838,7958
PointNet,ShapeNet,1,32,1,1.009,PointNet,ShapeNet,1,32,1,0.996,14.53,11.182,6504
PointNet,ShapeNet,1,64,0,0.973,PointNet,ShapeNet,1,64,0,0.971,16.761,14.627,13496
PointNet,ShapeNet,1,64,1,0.957,PointNet,ShapeNet,1,64,1,0.988,11.841,8.222,8714
PointNet,ShapeNet,1,128,0,0.954,PointNet,ShapeNet,1,128,0,0.977,18.5,15.018,20970
PointNet,ShapeNet,1,128,1,0.916,PointNet,ShapeNet,1,128,1,0.955,13.255,9.673,12486
LSTM,Wikitext2,1,64,0,0.563,LSTM,Wikitext2,1,64,0,0.563,100.0,84.286,7790
LSTM,Wikitext2,1,64,1,0.63,LSTM,Wikitext2,1,64,1,0.631,86.418,76.091,7522
LSTM,Wikitext2,1,128,0,0.62,LSTM,Wikitext2,1,128,0,0.62,90.184,78.898,11254
LSTM,Wikitext2,1,128,1,0.825,LSTM,Wikitext2,1,128,1,0.824,100.0,91.698,10662
NeuMF,MovieLens,1,64,0,0.98,NeuMF,MovieLens,1,64,0,0.986,20.724,4.816,4122
NeuMF,MovieLens,1,64,1,1.012,NeuMF,MovieLens,1,64,1,0.901,17.951,3.811,4122
NeuMF,MovieLens,1,128,0,0.948,NeuMF,MovieLens,1,128,0,0.856,18.451,3.961,4122
NeuMF,MovieLens,1,128,1,0.987,NeuMF,MovieLens,1,128,1,0.914,18.557,3.885,4122
TD3,BipedalWalker,1,32,0,1.0,TD3,BipedalWalker,1,32,0,1.0,27.653,0.667,4090
TD3,BipedalWalker,1,64,0,1.0,TD3,BipedalWalker,1,64,0,1.0,23.439,0.712,4090
TD3,BipedalWalker,1,128,0,1.0,TD3,BipedalWalker,1,128,0,1.0,23.721,0.754,4090
ResNet18,CIFAR-10,1,32,0,0.949,ResNet18,CIFAR-10,1,32,0,0.972,88.027,50.227,4790
ResNet18,CIFAR-10,1,32,1,0.883,ResNet18,CIFAR-10,1,32,1,0.889,63.618,33.25,4682
ResNet18,CIFAR-10,1,64,0,0.648,ResNet18,CIFAR-10,1,64,0,0.652,98.658,68.513,5342
ResNet18,CIFAR-10,1,64,1,0.738,ResNet18,CIFAR-10,1,64,1,0.78,84.32,48.573,6256
ResNet18,CIFAR-10,1,128,0,0.558,ResNet18,CIFAR-10,1,128,0,0.559,99.533,64.96,7716
ResNet18,CIFAR-10,1,128,1,0.633,ResNet18,CIFAR-10,1,128,1,0.63,99.093,67.413,7920
MobileNetV2,CIFAR-10,1,32,0,0.902,MobileNetV2,CIFAR-10,1,32,0,0.977,69.52,32.04,5038
MobileNetV2,CIFAR-10,1,32,1,0.91,MobileNetV2,CIFAR-10,1,32,1,0.878,47.76,13.693,4662
MobileNetV2,CIFAR-10,1,64,0,0.829,MobileNetV2,CIFAR-10,1,64,0,0.846,97.851,64.081,6076
MobileNetV2,CIFAR-10,1,64,1,0.954,MobileNetV2,CIFAR-10,1,64,1,0.904,70.311,30.946,5146
