model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
PointNet,ShapeNet,1,32,0,0.968,PointNet,ShapeNet,1,32,0,1.009,20.338,16.838,7958
PointNet,ShapeNet,1,32,1,1.011,PointNet,ShapeNet,1,32,1,0.998,14.53,11.182,6504
PointNet,ShapeNet,1,64,0,0.984,PointNet,ShapeNet,1,64,0,0.982,16.761,14.627,13496
PointNet,ShapeNet,1,64,1,0.941,PointNet,ShapeNet,1,64,1,0.972,11.841,8.222,8714
PointNet,ShapeNet,1,128,0,0.993,PointNet,ShapeNet,1,128,0,1.017,18.5,15.018,20970
PointNet,ShapeNet,1,128,1,0.962,PointNet,ShapeNet,1,128,1,1.003,13.255,9.673,12486
LSTM,Wikitext2,1,64,0,0.576,LSTM,Wikitext2,1,64,0,0.576,100.0,84.286,7790
LSTM,Wikitext2,1,64,1,0.635,LSTM,Wikitext2,1,64,1,0.635,86.418,76.091,7522
LSTM,Wikitext2,1,128,0,0.633,LSTM,Wikitext2,1,128,0,0.633,90.184,78.898,11254
LSTM,Wikitext2,1,128,1,0.842,LSTM,Wikitext2,1,128,1,0.841,100.0,91.698,10662
NeuMF,MovieLens,1,64,0,0.974,NeuMF,MovieLens,1,64,0,0.98,20.724,4.816,4122
NeuMF,MovieLens,1,64,1,1.022,NeuMF,MovieLens,1,64,1,0.91,17.951,3.811,4122
NeuMF,MovieLens,1,128,0,0.935,NeuMF,MovieLens,1,128,0,0.844,18.451,3.961,4122
NeuMF,MovieLens,1,128,1,0.962,NeuMF,MovieLens,1,128,1,0.891,18.557,3.885,4122
TD3,BipedalWalker,1,32,0,1.184,TD3,BipedalWalker,1,32,0,0.964,27.653,0.667,4090
TD3,BipedalWalker,1,64,0,0.742,TD3,BipedalWalker,1,64,0,0.346,23.439,0.712,4090
TD3,BipedalWalker,1,128,0,0.647,TD3,BipedalWalker,1,128,0,0.699,23.721,0.754,4090
ResNet18,CIFAR-10,1,32,0,0.931,ResNet18,CIFAR-10,1,32,0,0.953,88.027,50.227,4790
ResNet18,CIFAR-10,1,32,1,0.97,ResNet18,CIFAR-10,1,32,1,0.976,63.618,33.25,4682
ResNet18,CIFAR-10,1,64,0,0.657,ResNet18,CIFAR-10,1,64,0,0.661,98.658,68.513,5342
ResNet18,CIFAR-10,1,64,1,0.893,ResNet18,CIFAR-10,1,64,1,0.943,84.32,48.573,6256
ResNet18,CIFAR-10,1,128,0,0.578,ResNet18,CIFAR-10,1,128,0,0.579,99.533,64.96,7716
ResNet18,CIFAR-10,1,128,1,0.695,ResNet18,CIFAR-10,1,128,1,0.692,99.093,67.413,7920
MobileNetV2,CIFAR-10,1,32,0,0.969,MobileNetV2,CIFAR-10,1,32,0,1.049,69.52,32.04,5038
MobileNetV2,CIFAR-10,1,32,1,0.927,MobileNetV2,CIFAR-10,1,32,1,0.894,47.76,13.693,4662
MobileNetV2,CIFAR-10,1,64,0,0.885,MobileNetV2,CIFAR-10,1,64,0,0.903,97.851,64.081,6076
MobileNetV2,CIFAR-10,1,64,1,0.982,MobileNetV2,CIFAR-10,1,64,1,0.931,70.311,30.946,5146
MobileNetV2,CIFAR-10,1,128,0,0.615,MobileNetV2,CIFAR-10,1,128,0,0.615,100.0,74.813,8144
MobileNetV2,CIFAR-10,1,128,1,0.793,MobileNetV2,CIFAR-10,1,128,1,0.804,90.958,49.028,6138
EfficientNet,CIFAR-10,1,32,0,0.91,EfficientNet,CIFAR-10,1,32,0,0.916,41.764,6.583,4638
EfficientNet,CIFAR-10,1,32,1,0.97,EfficientNet,CIFAR-10,1,32,1,1.013,39.208,3.361,4374
EfficientNet,CIFAR-10,1,64,0,0.97,EfficientNet,CIFAR-10,1,64,0,0.916,51.625,13.083,5554
EfficientNet,CIFAR-10,1,64,1,0.899,EfficientNet,CIFAR-10,1,64,1,0.938,43.431,6.167,4602
EfficientNet,CIFAR-10,1,128,0,0.833,EfficientNet,CIFAR-10,1,128,0,0.792,68.351,27.23,6022
EfficientNet,CIFAR-10,1,128,1,0.822,EfficientNet,CIFAR-10,1,128,1,0.842,56.173,13.52,5630
VGG,CIFAR-10,1,32,0,0.982,VGG,CIFAR-10,1,32,0,0.932,66.987,38.671,6794
VGG,CIFAR-10,1,32,1,0.984,VGG,CIFAR-10,1,32,1,0.98,51.23,27.595,5546
VGG,CIFAR-10,1,64,0,1.008,VGG,CIFAR-10,1,64,0,1.021,87.027,59.253,7190
VGG,CIFAR-10,1,64,1,1.057,VGG,CIFAR-10,1,64,1,1.044,66.067,38.333,7198
VGG,CIFAR-10,1,128,0,0.743,VGG,CIFAR-10,1,128,0,0.741,96.176,54.203,8002
VGG,CIFAR-10,1,128,1,1.047,VGG,CIFAR-10,1,128,1,1.04,75.338,46.948,6470
PPO,LunarLander,1,32,0,1.047,PPO,LunarLander,1,32,0,0.984,25.368,0.015,4074
PPO,LunarLander,1,64,0,0.93,PPO,LunarLander,1,64,0,0.973,22.818,0.026,4074
PPO,LunarLander,1,128,0,0.931,PPO,LunarLander,1,128,0,0.879,25.867,0.013,4074
MobileNetV3,ImageNet,1,32,0,0.913,MobileNetV3,ImageNet,1,32,0,0.792,73.421,39.0,5410
MobileNetV3,ImageNet,1,32,1,0.999,MobileNetV3,ImageNet,1,32,1,0.965,57.0,17.529,4810
MobileNetV3,ImageNet,1,64,0,0.748,MobileNetV3,ImageNet,1,64,0,0.751,100.0,66.625,6554
MobileNetV3,ImageNet,1,64,1,0.945,MobileNetV3,ImageNet,1,64,1,0.951,87.938,37.062,5520
MobileNetV3,ImageNet,1,128,0,0.563,MobileNetV3,ImageNet,1,128,0,0.563,100.0,70.235,8854
MobileNetV3,ImageNet,1,128,1,0.707,MobileNetV3,ImageNet,1,128,1,0.703,100.0,49.706,6734
DCGAN,LSUN,1,32,0,0.911,DCGAN,LSUN,1,32,0,0.909,94.842,44.184,4938
DCGAN,LSUN,1,32,1,0.99,DCGAN,LSUN,1,32,1,0.975,55.868,23.079,5482
DCGAN,LSUN,1,64,0,0.686,DCGAN,LSUN,1,64,0,0.686,99.273,44.039,5276
DCGAN,LSUN,1,64,1,0.966,DCGAN,LSUN,1,64,1,0.967,72.237,33.447,4682
DCGAN,LSUN,1,128,0,0.571,DCGAN,LSUN,1,128,0,0.53,99.882,38.171,6214
DCGAN,LSUN,1,128,1,0.976,DCGAN,LSUN,1,128,1,0.959,82.87,45.468,5402
