,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,ResNet18,CIFAR-10,2,32,0,1735.412,ResNet18,CIFAR-10,2,32,0,1751.004,45.99,15.545,4700
1,ResNet18,CIFAR-10,2,32,0,1720.697,ResNet18,CIFAR-10,2,32,1,1591.89,43.753,13.32,4702
2,ResNet18,CIFAR-10,2,32,1,1581.944,ResNet18,CIFAR-10,2,32,1,1609.117,42.165,13.0,4690
3,ResNet18,CIFAR-10,2,32,0,1722.427,ResNet18,CIFAR-10,2,64,0,3465.305,53.743,21.238,4798
4,ResNet18,CIFAR-10,2,32,0,1743.121,ResNet18,CIFAR-10,2,64,1,3256.926,47.856,16.66,4738
5,ResNet18,CIFAR-10,2,32,1,1607.753,ResNet18,CIFAR-10,2,64,0,3468.419,50.211,19.789,4744
6,ResNet18,CIFAR-10,2,32,1,1596.066,ResNet18,CIFAR-10,2,64,1,3185.727,44.465,14.879,4684
7,ResNet18,CIFAR-10,2,32,0,1733.531,ResNet18,CIFAR-10,2,128,0,6663.575,63.883,32.155,6006
8,ResNet18,CIFAR-10,2,32,0,1724.851,ResNet18,CIFAR-10,2,128,1,6138.641,53.752,20.703,5882
9,ResNet18,CIFAR-10,2,32,1,1606.562,ResNet18,CIFAR-10,2,128,0,6689.889,62.554,30.416,5994
10,ResNet18,CIFAR-10,2,32,1,1604.551,ResNet18,CIFAR-10,2,128,1,6200.79,51.515,20.311,5928
11,ResNet18,CIFAR-10,2,64,0,3480.524,ResNet18,CIFAR-10,2,64,0,3466.602,60.133,25.105,4848
12,ResNet18,CIFAR-10,2,64,0,3454.766,ResNet18,CIFAR-10,2,64,1,3192.748,53.515,21.67,4798
13,ResNet18,CIFAR-10,2,64,1,3231.259,ResNet18,CIFAR-10,2,64,1,3198.031,48.697,20.101,4754
14,ResNet18,CIFAR-10,2,64,0,3416.809,ResNet18,CIFAR-10,2,128,0,6798.517,73.845,36.058,6074
15,ResNet18,CIFAR-10,2,64,0,3432.599,ResNet18,CIFAR-10,2,128,1,6041.301,59.782,26.168,5892
16,ResNet18,CIFAR-10,2,64,1,3127.158,ResNet18,CIFAR-10,2,128,0,6719.867,66.854,33.33,6030
17,ResNet18,CIFAR-10,2,64,1,3163.258,ResNet18,CIFAR-10,2,128,1,6189.638,57.714,24.61,6276
18,ResNet18,CIFAR-10,2,128,0,6482.845,ResNet18,CIFAR-10,2,128,0,6480.339,81.961,47.534,7298
19,ResNet18,CIFAR-10,2,128,0,6598.186,ResNet18,CIFAR-10,2,128,1,5950.418,72.869,36.071,6104
20,ResNet18,CIFAR-10,2,128,1,6006.936,ResNet18,CIFAR-10,2,128,1,6029.509,59.404,25.354,7210
21,ResNet18,CIFAR-10,2,32,0,1719.006,MobileNetV2,CIFAR-10,2,32,0,1083.308,37.374,11.323,4660
22,ResNet18,CIFAR-10,2,32,0,1732.501,MobileNetV2,CIFAR-10,2,32,1,967.549,36.366,8.832,4568
23,ResNet18,CIFAR-10,2,32,1,1642.276,MobileNetV2,CIFAR-10,2,32,0,1095.16,36.134,10.577,4662
24,ResNet18,CIFAR-10,2,32,1,1594.897,MobileNetV2,CIFAR-10,2,32,1,998.588,34.182,8.172,4582
25,ResNet18,CIFAR-10,2,32,0,1748.044,MobileNetV2,CIFAR-10,2,64,0,2141.164,43.162,15.323,4888
26,ResNet18,CIFAR-10,2,32,0,1714.628,MobileNetV2,CIFAR-10,2,64,1,1959.524,38.619,11.546,4682
27,ResNet18,CIFAR-10,2,32,1,1642.109,MobileNetV2,CIFAR-10,2,64,0,2236.089,41.257,15.386,4876
28,ResNet18,CIFAR-10,2,32,1,1621.402,MobileNetV2,CIFAR-10,2,64,1,2000.668,37.364,10.778,4670
29,ResNet18,CIFAR-10,2,32,0,1715.086,MobileNetV2,CIFAR-10,2,128,0,4289.651,53.889,26.949,5394
30,ResNet18,CIFAR-10,2,32,0,1717.315,MobileNetV2,CIFAR-10,2,128,1,3817.158,44.812,16.535,4932
31,ResNet18,CIFAR-10,2,32,1,1602.011,MobileNetV2,CIFAR-10,2,128,0,4247.4,51.922,25.243,5382
32,ResNet18,CIFAR-10,2,32,1,1642.558,MobileNetV2,CIFAR-10,2,128,1,3968.381,44.758,15.937,4920
33,ResNet18,CIFAR-10,2,64,0,3489.749,MobileNetV2,CIFAR-10,2,32,0,1092.678,43.089,16.059,4736
34,ResNet18,CIFAR-10,2,64,0,3499.632,MobileNetV2,CIFAR-10,2,32,1,979.486,43.299,14.536,4672
35,ResNet18,CIFAR-10,2,64,1,3200.705,MobileNetV2,CIFAR-10,2,32,0,1065.225,37.707,12.414,4656
36,ResNet18,CIFAR-10,2,64,1,3205.539,MobileNetV2,CIFAR-10,2,32,1,970.999,36.737,10.677,4592
37,ResNet18,CIFAR-10,2,64,0,3505.372,MobileNetV2,CIFAR-10,2,64,0,2191.054,49.514,21.343,4970
38,ResNet18,CIFAR-10,2,64,0,3484.297,MobileNetV2,CIFAR-10,2,64,1,1971.568,46.223,16.612,4790
39,ResNet18,CIFAR-10,2,64,1,3139.1,MobileNetV2,CIFAR-10,2,64,0,2192.843,42.752,17.089,4870
40,ResNet18,CIFAR-10,2,64,1,3187.99,MobileNetV2,CIFAR-10,2,64,1,2002.681,39.693,12.911,4664
41,ResNet18,CIFAR-10,2,64,0,3454.336,MobileNetV2,CIFAR-10,2,128,0,4287.363,60.657,31.648,5456
42,ResNet18,CIFAR-10,2,64,0,3514.143,MobileNetV2,CIFAR-10,2,128,1,3937.775,53.733,23.089,4984
43,ResNet18,CIFAR-10,2,64,1,3199.059,MobileNetV2,CIFAR-10,2,128,0,4323.838,55.181,27.79,5376
44,ResNet18,CIFAR-10,2,64,1,3179.283,MobileNetV2,CIFAR-10,2,128,1,3872.255,46.317,17.97,4908
45,ResNet18,CIFAR-10,2,128,0,6694.489,MobileNetV2,CIFAR-10,2,32,0,1084.858,57.448,28.505,4988
46,ResNet18,CIFAR-10,2,128,0,6758.984,MobileNetV2,CIFAR-10,2,32,1,948.473,58.097,25.631,4898
47,ResNet18,CIFAR-10,2,128,1,6096.903,MobileNetV2,CIFAR-10,2,32,0,1093.512,44.941,17.287,5896
48,ResNet18,CIFAR-10,2,128,1,6213.014,MobileNetV2,CIFAR-10,2,32,1,987.931,44.564,15.703,5830
49,ResNet18,CIFAR-10,2,128,0,6738.251,MobileNetV2,CIFAR-10,2,64,0,2151.474,63.495,32.162,6850
50,ResNet18,CIFAR-10,2,128,0,6699.466,MobileNetV2,CIFAR-10,2,64,1,1944.626,58.757,28.495,4918
51,ResNet18,CIFAR-10,2,128,1,6110.687,MobileNetV2,CIFAR-10,2,64,0,2127.529,51.838,23.076,6186
52,ResNet18,CIFAR-10,2,128,1,6069.054,MobileNetV2,CIFAR-10,2,64,1,1920.808,49.204,17.893,6226
53,ResNet18,CIFAR-10,2,128,0,6669.27,MobileNetV2,CIFAR-10,2,128,0,4231.457,73.913,42.068,6686
54,ResNet18,CIFAR-10,2,128,0,6694.728,MobileNetV2,CIFAR-10,2,128,1,3807.389,68.194,32.641,5256
55,ResNet18,CIFAR-10,2,128,1,5920.985,MobileNetV2,CIFAR-10,2,128,0,4263.181,68.352,32.876,6600
56,ResNet18,CIFAR-10,2,128,1,6142.347,MobileNetV2,CIFAR-10,2,128,1,3896.934,57.796,25.0,6178
57,ResNet18,CIFAR-10,2,32,0,1741.114,EfficientNetB0,CIFAR-10,2,32,0,905.477,35.98,8.505,4530
58,ResNet18,CIFAR-10,2,32,0,1732.567,EfficientNetB0,CIFAR-10,2,32,1,820.35,35.152,8.485,4508
59,ResNet18,CIFAR-10,2,32,1,1630.419,EfficientNetB0,CIFAR-10,2,32,0,906.715,34.343,7.091,4516
60,ResNet18,CIFAR-10,2,32,1,1627.286,EfficientNetB0,CIFAR-10,2,32,1,808.47,33.577,6.546,4510
61,ResNet18,CIFAR-10,2,32,0,1748.534,EfficientNetB0,CIFAR-10,2,64,0,1832.603,38.0,9.901,4646
62,ResNet18,CIFAR-10,2,32,0,1731.184,EfficientNetB0,CIFAR-10,2,64,1,1646.061,36.446,8.089,4556
63,ResNet18,CIFAR-10,2,32,1,1602.669,EfficientNetB0,CIFAR-10,2,64,0,1822.154,34.584,7.792,4654
64,ResNet18,CIFAR-10,2,32,1,1617.434,EfficientNetB0,CIFAR-10,2,64,1,1595.676,34.392,7.278,4560
65,ResNet18,CIFAR-10,2,32,0,1748.003,EfficientNetB0,CIFAR-10,2,128,0,3536.61,40.233,12.0,5020
66,ResNet18,CIFAR-10,2,32,0,1747.56,EfficientNetB0,CIFAR-10,2,128,1,3226.892,38.058,9.33,4760
67,ResNet18,CIFAR-10,2,32,1,1605.45,EfficientNetB0,CIFAR-10,2,128,0,3568.234,38.792,10.604,5004
68,ResNet18,CIFAR-10,2,32,1,1604.54,EfficientNetB0,CIFAR-10,2,128,1,3183.797,35.131,7.869,4746
69,ResNet18,CIFAR-10,2,64,0,3451.713,EfficientNetB0,CIFAR-10,2,32,0,918.156,41.238,13.782,4596
70,ResNet18,CIFAR-10,2,64,0,3462.059,EfficientNetB0,CIFAR-10,2,32,1,810.267,41.097,13.524,4564
71,ResNet18,CIFAR-10,2,64,1,3218.763,EfficientNetB0,CIFAR-10,2,32,0,916.91,36.861,10.396,4550
72,ResNet18,CIFAR-10,2,64,1,3182.25,EfficientNetB0,CIFAR-10,2,32,1,830.417,36.242,9.535,4504
73,ResNet18,CIFAR-10,2,64,0,3469.287,EfficientNetB0,CIFAR-10,2,64,0,1778.586,42.327,14.935,4730
74,ResNet18,CIFAR-10,2,64,0,3456.736,EfficientNetB0,CIFAR-10,2,64,1,1643.555,41.586,13.394,4614
75,ResNet18,CIFAR-10,2,64,1,3214.414,EfficientNetB0,CIFAR-10,2,64,0,1798.063,37.188,10.198,4648
76,ResNet18,CIFAR-10,2,64,1,3242.737,EfficientNetB0,CIFAR-10,2,64,1,1603.234,36.822,10.208,4572
77,ResNet18,CIFAR-10,2,64,0,3465.043,EfficientNetB0,CIFAR-10,2,128,0,3573.125,45.812,15.564,5030
78,ResNet18,CIFAR-10,2,64,0,3450.142,EfficientNetB0,CIFAR-10,2,128,1,3131.888,43.058,14.66,4824
