Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,MobileNetV3,ImageNet,2,32,0,1346.624,ResNet18,CIFAR-10,2,32,0,1736.518,27.544,7.631,4716
1,MobileNetV3,ImageNet,2,32,0,1312.425,ResNet18,CIFAR-10,2,32,1,1586.643,23.394,5.919,4704
2,MobileNetV3,ImageNet,2,32,1,1187.055,ResNet18,CIFAR-10,2,32,0,1698.41,27.333,7.626,4592
3,MobileNetV3,ImageNet,2,32,1,1302.467,ResNet18,CIFAR-10,2,32,1,1593.98,23.465,6.081,4606
4,MobileNetV3,ImageNet,2,32,0,1320.009,ResNet18,CIFAR-10,2,64,0,3449.248,34.366,12.802,4758
5,MobileNetV3,ImageNet,2,32,0,1291.969,ResNet18,CIFAR-10,2,64,1,3170.395,27.723,9.069,4698
6,MobileNetV3,ImageNet,2,32,1,1256.14,ResNet18,CIFAR-10,2,64,0,3411.18,34.248,12.673,4658
7,MobileNetV3,ImageNet,2,32,1,1234.109,ResNet18,CIFAR-10,2,64,1,3154.135,27.574,8.584,4648
8,MobileNetV3,ImageNet,2,32,0,1317.585,ResNet18,CIFAR-10,2,128,0,6725.34,46.59,23.81,4914
9,MobileNetV3,ImageNet,2,32,0,1311.347,ResNet18,CIFAR-10,2,128,1,6348.802,36.121,14.424,5964
10,MobileNetV3,ImageNet,2,32,1,1207.353,ResNet18,CIFAR-10,2,128,0,6694.995,46.243,24.097,4920
11,MobileNetV3,ImageNet,2,32,1,1190.19,ResNet18,CIFAR-10,2,128,1,6350.621,37.604,14.653,5822
12,MobileNetV3,ImageNet,2,64,0,2664.132,ResNet18,CIFAR-10,2,32,0,1734.861,28.406,7.703,5044
13,MobileNetV3,ImageNet,2,64,0,2644.436,ResNet18,CIFAR-10,2,32,1,1621.765,25.188,6.624,5032
14,MobileNetV3,ImageNet,2,64,1,2348.14,ResNet18,CIFAR-10,2,32,0,1699.231,26.072,7.33,4752
15,MobileNetV3,ImageNet,2,64,1,2382.133,ResNet18,CIFAR-10,2,32,1,1602.307,24.828,6.798,4764
16,MobileNetV3,ImageNet,2,64,0,2649.403,ResNet18,CIFAR-10,2,64,0,3432.274,34.216,12.835,5110
17,MobileNetV3,ImageNet,2,64,0,2704.114,ResNet18,CIFAR-10,2,64,1,3218.65,29.447,9.816,5026
18,MobileNetV3,ImageNet,2,64,1,2289.872,ResNet18,CIFAR-10,2,64,0,3445.446,33.673,12.406,4818
19,MobileNetV3,ImageNet,2,64,1,2341.891,ResNet18,CIFAR-10,2,64,1,3193.103,29.272,9.32,4796
20,MobileNetV3,ImageNet,2,64,0,2571.419,ResNet18,CIFAR-10,2,128,0,6719.486,48.0,23.067,5362
21,MobileNetV3,ImageNet,2,64,0,2669.248,ResNet18,CIFAR-10,2,128,1,6251.42,37.545,15.02,6204
22,MobileNetV3,ImageNet,2,64,1,2392.804,ResNet18,CIFAR-10,2,128,0,6750.16,46.81,24.0,5030
23,MobileNetV3,ImageNet,2,64,1,2387.823,ResNet18,CIFAR-10,2,128,1,6178.686,35.67,13.938,5988
24,MobileNetV3,ImageNet,2,128,0,5365.368,ResNet18,CIFAR-10,2,32,0,1765.067,30.859,8.556,5674
25,MobileNetV3,ImageNet,2,128,0,5308.709,ResNet18,CIFAR-10,2,32,1,1630.326,27.913,8.573,5662
26,MobileNetV3,ImageNet,2,128,1,4602.213,ResNet18,CIFAR-10,2,32,0,1740.993,30.061,8.121,5084
27,MobileNetV3,ImageNet,2,128,1,4678.428,ResNet18,CIFAR-10,2,32,1,1616.119,25.792,6.861,5092
28,MobileNetV3,ImageNet,2,128,0,5240.105,ResNet18,CIFAR-10,2,64,0,3460.91,35.971,14.039,5736
29,MobileNetV3,ImageNet,2,128,0,5386.198,ResNet18,CIFAR-10,2,64,1,3145.504,28.701,9.722,5694
30,MobileNetV3,ImageNet,2,128,1,4579.774,ResNet18,CIFAR-10,2,64,0,3403.902,35.717,12.02,5178
31,MobileNetV3,ImageNet,2,128,1,4712.807,ResNet18,CIFAR-10,2,64,1,3237.645,29.168,9.119,5166
32,MobileNetV3,ImageNet,2,128,0,5374.313,ResNet18,CIFAR-10,2,128,0,6813.476,49.619,27.581,5910
33,MobileNetV3,ImageNet,2,128,0,5875.963,ResNet18,CIFAR-10,2,128,1,6181.537,38.081,15.283,6864
34,MobileNetV3,ImageNet,2,128,1,4662.968,ResNet18,CIFAR-10,2,128,0,6739.657,46.158,24.485,5418
35,MobileNetV3,ImageNet,2,128,1,4578.125,ResNet18,CIFAR-10,2,128,1,6338.426,39.248,15.752,6338
36,MobileNetV3,ImageNet,2,32,0,1370.24,MobileNetV2,CIFAR-10,2,32,0,990.542,15.907,3.392,4676
37,MobileNetV3,ImageNet,2,32,0,1357.48,MobileNetV2,CIFAR-10,2,32,1,908.403,15.247,2.113,4590
38,MobileNetV3,ImageNet,2,32,1,1291.813,MobileNetV2,CIFAR-10,2,32,0,1033.146,16.495,3.371,4578
39,MobileNetV3,ImageNet,2,32,1,1187.405,MobileNetV2,CIFAR-10,2,32,1,876.774,14.126,1.674,4506
40,MobileNetV3,ImageNet,2,32,0,1374.627,MobileNetV2,CIFAR-10,2,64,0,2018.158,21.957,7.882,4906
41,MobileNetV3,ImageNet,2,32,0,,MobileNetV2,CIFAR-10,2,64,1,1796.759,16.916,3.737,4678
42,MobileNetV3,ImageNet,2,32,1,1218.413,MobileNetV2,CIFAR-10,2,64,0,1983.935,21.814,7.557,4778
43,MobileNetV3,ImageNet,2,32,1,1164.143,MobileNetV2,CIFAR-10,2,64,1,1822.162,17.722,3.959,4584
44,MobileNetV3,ImageNet,2,32,0,1280.694,MobileNetV2,CIFAR-10,2,128,0,3989.586,34.105,17.695,5396
45,MobileNetV3,ImageNet,2,32,0,1289.128,MobileNetV2,CIFAR-10,2,128,1,3904.845,26.381,9.227,4928
46,MobileNetV3,ImageNet,2,32,1,1129.774,MobileNetV2,CIFAR-10,2,128,0,3989.362,34.131,17.495,5298
47,MobileNetV3,ImageNet,2,32,1,1226.266,MobileNetV2,CIFAR-10,2,128,1,3614.574,25.737,8.632,4886
48,MobileNetV3,ImageNet,2,64,0,2775.217,MobileNetV2,CIFAR-10,2,32,0,1016.968,16.485,3.889,5008
49,MobileNetV3,ImageNet,2,64,0,2616.103,MobileNetV2,CIFAR-10,2,32,1,914.571,15.021,2.242,4928
50,MobileNetV3,ImageNet,2,64,1,2381.167,MobileNetV2,CIFAR-10,2,32,0,1003.946,16.443,3.515,4732
51,MobileNetV3,ImageNet,2,64,1,2350.638,MobileNetV2,CIFAR-10,2,32,1,896.824,15.196,2.247,4706
52,MobileNetV3,ImageNet,2,64,0,2740.806,MobileNetV2,CIFAR-10,2,64,0,2017.348,22.258,8.113,5218
53,MobileNetV3,ImageNet,2,64,0,2667.636,MobileNetV2,CIFAR-10,2,64,1,1766.845,17.699,4.118,5016
54,MobileNetV3,ImageNet,2,64,1,2446.555,MobileNetV2,CIFAR-10,2,64,0,2053.545,22.779,8.179,5000
55,MobileNetV3,ImageNet,2,64,1,2475.383,MobileNetV2,CIFAR-10,2,64,1,1825.962,17.695,3.989,4720
56,MobileNetV3,ImageNet,2,64,0,2577.06,MobileNetV2,CIFAR-10,2,128,0,3921.808,34.773,18.103,5728
57,MobileNetV3,ImageNet,2,64,0,2662.526,MobileNetV2,CIFAR-10,2,128,1,3568.853,25.937,8.821,5272
58,MobileNetV3,ImageNet,2,64,1,2363.023,MobileNetV2,CIFAR-10,2,128,0,3943.32,34.779,17.516,5460
59,MobileNetV3,ImageNet,2,64,1,2431.513,MobileNetV2,CIFAR-10,2,128,1,3825.422,26.768,9.158,5112
