model,dataset,gpu_num,batchsize,amp,speed,gpu_util,gmem_util,gmem
ResNet50,ImageNet,1.0,32.0,0.0,435.4945,100.0,81.01050000000001,5518.0
ResNet50,ImageNet,1.0,32.0,1.0,686.483,96.807,69.503,3868.0
ResNet50,ImageNet,1.0,64.0,0.0,446.695,100.0,82.7955,8647.0
ResNet50,ImageNet,1.0,64.0,1.0,735.075,98.3675,74.3215,5453.0
ResNet50,ImageNet,1.0,128.0,0.0,467.6515,100.0,87.65100000000001,13326.0
ResNet50,ImageNet,1.0,128.0,1.0,776.149,99.63,76.43299999999999,7970.0
MobileNetV3,ImageNet,1.0,32.0,0.0,1334.127,47.038,20.53,2694.0
MobileNetV3,ImageNet,1.0,32.0,1.0,975.4404999999999,34.542,8.0245,2394.0
MobileNetV3,ImageNet,1.0,64.0,0.0,2496.901,78.4555,43.325,3266.0
MobileNetV3,ImageNet,1.0,64.0,1.0,1896.984,51.6185,18.003,2706.0
MobileNetV3,ImageNet,1.0,128.0,0.0,3357.5815000000002,100.0,60.809,4428.0
MobileNetV3,ImageNet,1.0,128.0,1.0,3425.0625,85.24799999999999,33.907,3297.0
ResNet18,CIFAR-10,1.0,32.0,0.0,1799.3805,54.450500000000005,26.026,2360.0
ResNet18,CIFAR-10,1.0,32.0,1.0,1513.6045,36.0565,17.483999999999998,2330.0
ResNet18,CIFAR-10,1.0,64.0,0.0,3658.214,82.814,49.335499999999996,2633.592
ResNet18,CIFAR-10,1.0,64.0,1.0,3441.0975,55.019,29.404,3641.987
ResNet18,CIFAR-10,1.0,128.0,0.0,4735.7635,94.763,63.921,3001.842
ResNet18,CIFAR-10,1.0,128.0,1.0,5233.0725,73.76650000000001,41.713499999999996,4035.5735
MobileNetV2,CIFAR-10,1.0,32.0,0.0,1036.6615,40.427,15.7905,2508.0
MobileNetV2,CIFAR-10,1.0,32.0,1.0,878.9259999999999,29.389,7.098000000000001,2320.0
MobileNetV2,CIFAR-10,1.0,64.0,0.0,2095.9645,65.8635,36.67,3010.0
MobileNetV2,CIFAR-10,1.0,64.0,1.0,1662.866,41.81,15.697000000000001,2544.0
MobileNetV2,CIFAR-10,1.0,128.0,0.0,3336.783,98.064,62.1025,4057.4105
MobileNetV2,CIFAR-10,1.0,128.0,1.0,2916.146,59.061,29.314,2957.684
EfficientNet,CIFAR-10,1.0,32.0,0.0,809.2995,25.154,2.952,2308.0
EfficientNet,CIFAR-10,1.0,32.0,1.0,674.7249999999999,21.1415,1.287,2176.0
EfficientNet,CIFAR-10,1.0,64.0,0.0,1751.0075000000002,33.909499999999994,7.196,2766.0
EfficientNet,CIFAR-10,1.0,64.0,1.0,1371.4940000000001,26.223,3.1174999999999997,2290.0
EfficientNet,CIFAR-10,1.0,128.0,0.0,3409.2075,45.17,16.11,2586.2799999999997
EfficientNet,CIFAR-10,1.0,128.0,1.0,2823.818,34.952,7.4094999999999995,2356.2264999999998
VGG,CIFAR-10,1.0,32.0,0.0,3024.1565,40.786500000000004,21.5465,3385.9335
VGG,CIFAR-10,1.0,32.0,1.0,3031.9955,38.664500000000004,16.424500000000002,2761.9314999999997
VGG,CIFAR-10,1.0,64.0,0.0,6488.0495,48.3735,29.433500000000002,3168.1465
VGG,CIFAR-10,1.0,64.0,1.0,4994.991,34.473,16.561,3164.757
VGG,CIFAR-10,1.0,128.0,0.0,7840.9765,51.6155,34.236999999999995,3435.577
VGG,CIFAR-10,1.0,128.0,1.0,7355.934,42.1625,21.765,2627.8289999999997
PointNet,ShapeNet,1.0,32.0,0.0,133.537,8.981,7.4365000000000006,3968.0
PointNet,ShapeNet,1.0,32.0,1.0,135.77100000000002,6.3035,5.111000000000001,3334.0
PointNet,ShapeNet,1.0,64.0,0.0,136.4975,10.3905,8.801,6346.0
PointNet,ShapeNet,1.0,64.0,1.0,137.69299999999998,6.8365,5.7515,4532.0
PointNet,ShapeNet,1.0,128.0,0.0,134.865,11.0635,9.3945,10474.0
PointNet,ShapeNet,1.0,128.0,1.0,137.8095,6.1625,5.458,6976.0
DCGAN,LSUN,1.0,32.0,0.0,1913.399,55.209,20.591,2423.2535
DCGAN,LSUN,1.0,32.0,1.0,1491.8175,33.65,11.440000000000001,2729.9465
DCGAN,LSUN,1.0,64.0,0.0,3268.8115,73.89150000000001,30.883,2399.844
DCGAN,LSUN,1.0,64.0,1.0,2822.321,46.846000000000004,16.8015,2329.9615
DCGAN,LSUN,1.0,128.0,0.0,4314.745,92.88300000000001,38.253,3096.0
DCGAN,LSUN,1.0,128.0,1.0,5264.9015,59.53,28.319000000000003,2685.4674999999997
PPO,LunarLander,1.0,32.0,0.0,5.374499999999999,12.5875,0.0,2038.5
PPO,LunarLander,1.0,64.0,0.0,14.942,12.016,0.0,2038.5
PPO,LunarLander,1.0,128.0,0.0,47.7705,14.909500000000001,0.0,2038.5
TD3,BipedalWalker,1.0,32.0,0.0,22.1585,12.6015,0.0,2046.5
TD3,BipedalWalker,1.0,64.0,0.0,58.618,14.1645,0.0,2046.5
TD3,BipedalWalker,1.0,128.0,0.0,81.929,13.7635,0.0,2046.5
NeuMF,MovieLens,1.0,64.0,0.0,15481.706,10.4915,2.035,2050.0
NeuMF,MovieLens,1.0,64.0,1.0,12053.3695,9.775,2.0225,2050.0
NeuMF,MovieLens,1.0,128.0,0.0,30205.7215,10.599499999999999,2.0395000000000003,2050.0
NeuMF,MovieLens,1.0,128.0,1.0,23646.2195,9.8905,1.996,2050.0
LSTM,Wikitext2,1.0,64.0,0.0,4395.248,96.62299999999999,73.20949999999999,3884.0
LSTM,Wikitext2,1.0,64.0,1.0,4465.439,73.6195,59.4735,3750.0
LSTM,Wikitext2,1.0,128.0,0.0,3870.1455,75.619,62.403999999999996,5616.0
LSTM,Wikitext2,1.0,128.0,1.0,4351.898,63.751000000000005,55.087999999999994,5320.0
BERT,SQuAD,1.0,32.0,0.0,84.09049999999999,99.62549999999999,61.948,20162.0
BERT,SQuAD,1.0,32.0,1.0,120.15299999999999,99.7475,74.378,16334.0
Transformer,Multi30k,1.0,32.0,0.0,450.76300000000003,53.783500000000004,16.832,12690.051
Transformer,Multi30k,1.0,64.0,0.0,840.3679999999999,78.3965,31.603,12047.823499999999
