,model,dataset,gpu_num,batchsize,amp,speed,gpu_util,gmem_util,gmem,time
0,ResNet50,ImageNet,1,32,0,438.426,100.0,81.267,5518.0,10.584535121917725
1,ResNet50,ImageNet,1,32,1,702.287,97.75,71.438,3898.0,10.596716403961182
2,ResNet50,ImageNet,1,64,0,457.447,100.0,84.692,8724.0,10.72655701637268
3,ResNet50,ImageNet,1,64,1,761.328,99.0,76.125,5530.0,11.047801733016968
4,ResNet50,ImageNet,1,128,0,469.652,100.0,88.375,13326.0,10.640050411224365
5,ResNet50,ImageNet,1,128,1,786.825,99.6,77.3,7948.0,10.819045782089233
6,MobileNetV3,ImageNet,1,32,0,1363.751,48.667,21.333,2694.0,10.515077114105225
7,MobileNetV3,ImageNet,1,32,1,972.626,34.118,8.118,2406.0,10.439652442932129
8,MobileNetV3,ImageNet,1,64,0,2456.366,76.389,42.389,3266.0,10.52626895904541
9,MobileNetV3,ImageNet,1,64,1,1885.875,50.882,17.941,2706.0,10.4629807472229
10,MobileNetV3,ImageNet,1,128,0,3362.026,100.0,60.706,4428.0,10.576140642166138
11,MobileNetV3,ImageNet,1,128,1,3367.599,84.375,33.875,3378.0,10.77029275894165
12,ResNet18,CIFAR-10,1,32,0,1834.856,50.234,27.052,2360.0,30.453665256500244
13,ResNet18,CIFAR-10,1,32,1,1378.171,31.446,14.635,2330.0,30.476154327392578
14,ResNet18,CIFAR-10,1,64,0,3604.429,84.961,51.671,2607.184,30.384050369262695
15,ResNet18,CIFAR-10,1,64,1,2843.619,48.038,24.808,3641.974,30.55379056930542
16,ResNet18,CIFAR-10,1,128,0,4567.667,93.276,60.842,2931.684,30.47715663909912
17,ResNet18,CIFAR-10,1,128,1,4766.663,69.533,39.76,4035.147,30.42461133003235
18,MobileNetV2,CIFAR-10,1,32,0,964.896,38.054,14.581,2508.0,30.427940845489502
19,MobileNetV2,CIFAR-10,1,32,1,862.601,29.945,6.863,2320.0,30.41524648666382
20,MobileNetV2,CIFAR-10,1,64,0,1962.953,62.227,33.84,3010.0,30.451757192611694
21,MobileNetV2,CIFAR-10,1,64,1,1614.855,41.787,15.227,2560.0,30.455982208251953
22,MobileNetV2,CIFAR-10,1,128,0,3157.529,97.295,58.872,4036.821,30.440447330474854
23,MobileNetV2,CIFAR-10,1,128,1,2965.532,62.408,30.342,2923.368,30.559521913528442
24,EfficientNet,CIFAR-10,1,32,0,804.462,25.808,2.904,2308.0,30.451697826385498
25,EfficientNet,CIFAR-10,1,32,1,668.473,21.712,1.288,2176.0,30.416722297668457
26,EfficientNet,CIFAR-10,1,64,0,1579.189,32.419,6.392,2766.0,30.442627668380737
27,EfficientNet,CIFAR-10,1,64,1,1371.865,26.946,3.068,2290.0,30.43700909614563
28,EfficientNet,CIFAR-10,1,128,0,3353.343,45.507,16.053,2592.56,30.322028160095215
29,EfficientNet,CIFAR-10,1,128,1,2844.892,36.333,7.533,2354.453,30.444571256637573
30,VGG,CIFAR-10,1,32,0,3049.593,37.573,20.093,3385.867,30.56109929084778
31,VGG,CIFAR-10,1,32,1,2507.111,29.329,13.849,2761.863,30.495354652404785
32,VGG,CIFAR-10,1,64,0,5545.956,45.747,28.867,2752.293,30.551100492477417
33,VGG,CIFAR-10,1,64,1,4877.436,34.946,16.622,2741.514,30.521995067596436
34,VGG,CIFAR-10,1,128,0,8421.603,52.731,34.474,2881.154,30.427172422409058
35,VGG,CIFAR-10,1,128,1,7702.339,40.658,21.197,2589.658,30.35428023338318
36,PointNet,ShapeNet,1,32,0,135.583,6.429,5.206,3968.0,31.110363721847534
