,model,dataset,gpu_num,batchsize,amp,speed,gpu_util,gmem_util,gmem,time
0,resnet50,imagenet,2,32,0,1135.061,86.111,49.889,3888.333,10.533888816833496
1,resnet50,imagenet,2,32,1,995.057,53.0,25.2,3029.4,10.917570352554321
2,resnet50,imagenet,2,64,0,1424.698,91.8,66.6,5282.2,11.071032762527466
3,resnet50,imagenet,2,64,1,1899.422,81.0,49.857,3848.714,10.8552987575531
4,resnet50,imagenet,2,128,0,,96.0,75.0,9075.0,10.725483179092407
5,resnet50,imagenet,2,128,1,2447.117,89.8,60.6,5548.2,11.428044319152832
6,mobilenet_v3_small,imagenet,2,32,0,1203.197,17.231,3.846,2368.385,10.830211400985718
7,mobilenet_v3_small,imagenet,2,32,1,1087.39,17.0,2.091,2255.727,10.459081888198853
8,mobilenet_v3_small,imagenet,2,64,0,2448.834,24.818,8.727,2665.545,10.769598245620728
9,mobilenet_v3_small,imagenet,2,64,1,2237.44,24.818,4.818,2431.182,10.644821643829346
10,mobilenet_v3_small,imagenet,2,128,0,5312.668,48.111,23.667,3307.0,10.648319721221924
11,mobilenet_v3_small,imagenet,2,128,1,4604.871,36.778,11.111,2759.222,10.509457349777222
12,ResNet18,cifar10,2,32,0,1732.51,26.594,7.792,2326.446,30.575250387191772
13,ResNet18,cifar10,2,32,1,1593.162,22.757,5.67,2312.456,30.510745525360107
14,ResNet18,cifar10,2,64,0,3400.765,33.103,12.402,2377.68,30.579890489578247
15,ResNet18,cifar10,2,64,1,3151.989,26.121,8.293,2325.283,30.54604935646057
16,ResNet18,cifar10,2,128,0,6739.146,45.093,24.486,2769.523,30.629926919937134
17,ResNet18,cifar10,2,128,1,6166.156,34.406,13.218,3349.535,30.564504861831665
18,MobileNetV2,cifar10,2,32,0,1005.649,14.941,3.099,2323.079,30.771389961242676
19,MobileNetV2,cifar10,2,32,1,919.79,14.175,1.959,2261.062,30.625165939331055
20,MobileNetV2,cifar10,2,64,0,1970.442,20.636,7.253,2554.899,30.734240770339966
21,MobileNetV2,cifar10,2,64,1,1795.666,16.212,3.687,2337.02,30.6982684135437
22,MobileNetV2,cifar10,2,128,0,4063.838,34.079,17.614,3033.178,30.58624267578125
23,MobileNetV2,cifar10,2,128,1,3692.636,24.946,8.591,2570.935,30.604656219482422
24,EfficientNetB0,cifar10,2,32,0,849.046,12.859,0.889,2172.131,30.619195461273193
25,EfficientNetB0,cifar10,2,32,1,734.873,12.33,0.515,2161.227,30.6711905002594
26,EfficientNetB0,cifar10,2,64,0,1718.947,14.576,1.424,2275.485,30.592756748199463
27,EfficientNetB0,cifar10,2,64,1,1465.923,13.021,0.99,2200.093,30.577884674072266
28,EfficientNetB0,cifar10,2,128,0,3376.01,18.515,3.474,2592.608,30.596304893493652
29,EfficientNetB0,cifar10,2,128,1,2914.928,15.172,1.707,2357.586,30.68979024887085
30,VGG,cifar10,2,32,0,2698.673,25.621,6.019,3275.194,30.46652340888977
31,VGG,cifar10,2,32,1,2542.077,23.198,5.099,2989.416,30.532747507095337
32,VGG,cifar10,2,64,0,5495.076,29.465,9.109,2840.881,30.577272415161133
33,VGG,cifar10,2,64,1,4824.108,24.0,6.099,2604.525,30.60268783569336
34,VGG,cifar10,2,128,0,9970.15,32.544,12.417,2700.631,30.665878295898438
35,VGG,cifar10,2,128,1,9291.841,27.327,7.604,2783.574,30.86544966697693
36,pointnet,shapenet,2,32,0,265.928,4.277,3.373,3112.036,31.1248517036438
37,pointnet,shapenet,2,32,1,272.499,2.911,2.025,2695.658,30.956786155700684
38,pointnet,shapenet,2,64,0,283.061,4.096,3.288,4085.356,31.42663836479187
39,pointnet,shapenet,2,64,1,270.946,3.76,3.04,3347.027,32.00519824028015
40,pointnet,shapenet,2,128,0,258.291,6.092,5.092,6231.185,32.45620632171631
41,pointnet,shapenet,2,128,1,277.274,3.852,3.197,4552.049,32.38260746002197
42,dcgan,LSUN,2,32,0,1652.897,24.252,5.252,2410.903,30.54087805747986
43,dcgan,LSUN,2,32,1,1433.477,20.465,3.871,2415.99,30.742942333221436
44,dcgan,LSUN,2,64,0,3055.369,30.404,7.909,2267.566,30.681270122528076
45,dcgan,LSUN,2,64,1,2790.304,24.732,5.392,2460.567,30.764061450958252
46,dcgan,LSUN,2,128,0,6063.356,42.932,14.068,2652.204,30.70206594467163
47,dcgan,LSUN,2,128,1,5386.019,29.347,7.495,2311.673,30.944356679916382
