Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,VGG,CIFAR-10,1,32,0,2857.79,DCGAN,LSUN,1,32,0,1579.573,77.419,37.203,5898
1,VGG,CIFAR-10,1,32,0,2640.73,DCGAN,LSUN,1,32,1,1334.474,57.264,28.708,6170
2,VGG,CIFAR-10,1,32,1,2369.141,DCGAN,LSUN,1,32,0,1639.427,71.743,34.041,5274
3,VGG,CIFAR-10,1,32,1,2240.585,DCGAN,LSUN,1,32,1,1336.575,48.296,22.859,5546
4,VGG,CIFAR-10,1,32,0,2932.764,DCGAN,LSUN,1,64,0,2896.195,91.808,49.863,5788
5,VGG,CIFAR-10,1,32,0,2729.844,DCGAN,LSUN,1,64,1,2637.366,66.479,34.753,5770
6,VGG,CIFAR-10,1,32,1,2334.261,DCGAN,LSUN,1,64,0,3025.158,85.123,43.151,6318
7,VGG,CIFAR-10,1,32,1,2358.904,DCGAN,LSUN,1,64,1,2596.569,60.736,29.333,5726
8,VGG,CIFAR-10,1,32,0,2234.254,DCGAN,LSUN,1,128,0,3543.785,97.192,48.767,6536
9,VGG,CIFAR-10,1,32,0,2737.33,DCGAN,LSUN,1,128,1,4252.244,74.931,42.653,6130
10,VGG,CIFAR-10,1,32,1,2009.763,DCGAN,LSUN,1,128,0,3999.954,93.431,47.903,5912
11,VGG,CIFAR-10,1,32,1,2443.376,DCGAN,LSUN,1,128,1,4749.357,74.162,40.527,5506
12,VGG,CIFAR-10,1,64,0,5274.052,DCGAN,LSUN,1,32,0,1675.845,83.662,45.135,6492
13,VGG,CIFAR-10,1,64,0,5138.89,DCGAN,LSUN,1,32,1,1391.38,63.806,35.847,6368
14,VGG,CIFAR-10,1,64,1,4627.012,DCGAN,LSUN,1,32,0,1692.703,71.931,37.278,6100
15,VGG,CIFAR-10,1,64,1,4423.633,DCGAN,LSUN,1,32,1,1326.497,55.603,27.562,6372
16,VGG,CIFAR-10,1,64,0,5023.214,DCGAN,LSUN,1,64,0,2741.85,93.26,54.616,5960
